driverID,firstName,lastName,dob,nationality,teamID,wins,podiums,totalRaces,isRetired
1,Max,Verstappen,1997-09-30,Dutch,1,55,85,208,0
2,Sergio,Perez,1990-01-26,Mexican,1,4,30,290,0
3,George,Russell,1998-02-15,British,2,1,10,103,0
4,Lewis,Hamilton,1985-01-07,British,2,103,182,326,0
5,Charles,Leclerc,1997-10-16,Monégasque,3,5,25,118,0
6,Carlos,Sainz,1994-09-01,Spanish,3,2,15,180,0
7,Lando,Norris,1999-11-13,British,4,2,20,118,0
8,Oscar,Piastri,2001-04-06,Australian,4,1,5,24,0
9,Fernando,Alonso,1981-07-29,Spanish,5,32,98,400,0
10,Lance,Stroll,1998-10-29,Canadian,5,0,3,129,0
11,Pierre,Gasly,1996-02-07,French,6,1,3,145,0
12,Esteban,Ocon,1996-09-17,French,6,1,3,140,0
13,Nico,Hulkenberg,1987-08-19,German,7,0,1,187,0
14,Kevin,Magnussen,1992-10-05,Danish,7,0,1,150,0
15,Oliver,Bearman,2005-05-08,British,7,0,0,3,0
16,Pietro,Fittipaldi,1996-06-25,Brazilian,7,0,0,2,0
17,Yuki,Tsunoda,2000-05-11,Japanese,8,0,0,67,0
18,Daniel,Ricciardo,1989-07-01,Australian,8,8,32,246,0
19,Liam,Lawson,2002-02-11,New Zealander,8,0,0,10,0
20,Alexander,Albon,1996-03-23,Thai,9,0,2,84,0
21,Franco,Colapinto,2003-05-27,Argentine,9,0,0,7,0
22,Logan,Sargeant,2000-12-31,American,9,0,0,25,0
23,Zhou,Guanyu,1999-05-30,Chinese,10,0,0,56,0
24,Valtteri,Bottas,1989-08-28,Finnish,10,10,67,212,0
26,Michael,Schumacher,1969-01-03,German,0,91,155,308,1
27,Sebastian,Vettel,1987-07-03,German,0,48,122,299,1
28,Pedro,de la Rosa,1971-02-24,Spanish,0,6,11,107,1
29,Rubens,Barrichello,1972-03-23,Brazilian,0,11,68,326,1
30,Kimi,Räikkönen,1979-10-17,Finnish,0,21,103,353,1
